close,epoch,high,low,open
107917.0889,2025-06-22 07:14:00,108082.2019,107895.3042,108037.3111
108004.102,2025-06-22 07:15:00,108004.102,107902.1892,107913.9383
107957.7653,2025-06-22 07:16:00,108119.5764,107957.7653,108005.6418
107923.2859,2025-06-22 07:17:00,107983.4168,107880.3297,107927.3399
107990.0932,2025-06-22 07:18:00,107990.5324,107852.8637,107918.0285
108002.741,2025-06-22 07:19:00,108104.1413,107989.3642,108001.0709
107943.0542,2025-06-22 07:20:00,108077.7951,107914.2722,108001.9458
107819.7887,2025-06-22 07:21:00,107951.6537,107773.5048,107942.8715
107916.7831,2025-06-22 07:22:00,107916.7831,107814.3155,107814.3155
107922.4805,2025-06-22 07:23:00,107982.0862,107885.4772,107934.8989
108011.0917,2025-06-22 07:24:00,108030.5626,107928.9218,107930.8233
108012.5031,2025-06-22 07:25:00,108038.5734,107891.4573,108028.6065
107874.8311,2025-06-22 07:26:00,107999.5501,107861.376,107999.5501
107988.7624,2025-06-22 07:27:00,108033.3332,107874.295,107896.3375
107981.7174,2025-06-22 07:28:00,108048.0389,107946.1945,107990.3221
107995.6119,2025-06-22 07:29:00,108088.1699,107951.5524,108007.5921
107963.5389,2025-06-22 07:30:00,108031.9793,107939.5657,107989.5297
108065.2936,2025-06-22 07:31:00,108065.2936,107920.3613,107955.8835
107815.3835,2025-06-22 07:32:00,108049.3822,107792.8386,108049.3822
107781.2288,2025-06-22 07:33:00,107847.3954,107729.4588,107793.0062
107509.471,2025-06-22 07:34:00,107741.1212,107498.152,107741.1212
107510.1369,2025-06-22 07:35:00,107604.5726,107438.2888,107481.5753
107386.2608,2025-06-22 07:36:00,107496.5207,107377.7501,107496.5207
107392.0078,2025-06-22 07:37:00,107418.8368,107299.8001,107415.9585
107438.991,2025-06-22 07:38:00,107449.1084,107366.4828,107366.4828
107435.0021,2025-06-22 07:39:00,107515.3487,107421.2345,107440.6084
107430.2772,2025-06-22 07:40:00,107432.1755,107351.0428,107404.3638
107367.995,2025-06-22 07:41:00,107480.7345,107367.995,107412.1887
107310.8214,2025-06-22 07:42:00,107426.8563,107310.8214,107385.2579
107476.366,2025-06-22 07:43:00,107480.1111,107323.7771,107323.7771
107536.9938,2025-06-22 07:44:00,107536.9938,107374.7935,107465.921
107331.7001,2025-06-22 07:45:00,107555.2605,107311.9698,107545.4561
107356.1184,2025-06-22 07:46:00,107511.946,107344.7568,107344.8496
107273.9297,2025-06-22 07:47:00,107352.0329,107234.5734,107324.3826
107200.0785,2025-06-22 07:48:00,107303.0242,107188.7947,107269.4114
107125.9071,2025-06-22 07:49:00,107256.2468,107125.9071,107194.1575
107044.6243,2025-06-22 07:50:00,107184.3266,107023.7475,107131.982
106857.8362,2025-06-22 07:51:00,107047.0962,106829.1623,107026.712
106930.7693,2025-06-22 07:52:00,106931.8836,106772.3511,106878.0153
107099.8946,2025-06-22 07:53:00,107102.0333,106927.1017,106936.6378
107174.6719,2025-06-22 07:54:00,107240.7487,107118.8658,107143.7985
107153.0952,2025-06-22 07:55:00,107153.0952,107058.3024,107142.0445
107203.4722,2025-06-22 07:56:00,107203.4722,106984.2802,107154.8955
107173.5627,2025-06-22 07:57:00,107238.2517,107157.6234,107193.5448
107159.9721,2025-06-22 07:58:00,107212.3214,107042.5247,107178.7422
107199.0147,2025-06-22 07:59:00,107210.8325,107152.7082,107197.296
107249.7826,2025-06-22 08:00:00,107295.0866,107157.376,107217.7359
107214.9316,2025-06-22 08:01:00,107367.0552,107214.9316,107280.1791
107206.9819,2025-06-22 08:02:00,107227.1481,107103.8171,107182.8624
107260.6604,2025-06-22 08:03:00,107303.5833,107143.3667,107245.1617
107314.1657,2025-06-22 08:04:00,107367.2321,107255.975,107257.7341
107220.1065,2025-06-22 08:05:00,107310.8826,107206.3541,107310.8826
107211.4555,2025-06-22 08:06:00,107234.5731,107102.5749,107204.3843
107173.7855,2025-06-22 08:07:00,107227.6834,107127.0312,107222.5502
107181.6235,2025-06-22 08:08:00,107246.8432,107164.81,107167.6168
107155.2473,2025-06-22 08:09:00,107222.7606,107130.3367,107197.485
107266.3903,2025-06-22 08:10:00,107318.4492,107111.0151,107120.001
107240.9238,2025-06-22 08:11:00,107328.4334,107199.8033,107264.7511
107096.8294,2025-06-22 08:12:00,107272.4705,107045.812,107241.5198
106968.1232,2025-06-22 08:13:00,107091.3593,106917.7454,107081.6409
107035.0133,2025-06-22 08:14:00,107053.8923,106851.6999,106965.416
106965.4605,2025-06-22 08:15:00,107079.273,106945.3487,107046.1982
106842.4298,2025-06-22 08:16:00,106925.7629,106785.9348,106925.7629
106916.9956,2025-06-22 08:17:00,106938.6901,106832.8951,106844.9778
106959.591,2025-06-22 08:18:00,106982.3167,106877.9108,106942.6819
107158.2285,2025-06-22 08:19:00,107176.1352,106980.2564,107007.9884
107101.9313,2025-06-22 08:20:00,107204.644,107067.7889,107164.2921
107063.7044,2025-06-22 08:21:00,107094.0731,106991.8397,107085.3764
106895.8639,2025-06-22 08:22:00,107088.0835,106863.8094,107035.3053
106892.4367,2025-06-22 08:23:00,106991.0409,106821.2083,106856.199
106776.4711,2025-06-22 08:24:00,106930.8926,106776.4711,106919.6134
106705.2834,2025-06-22 08:25:00,106879.9815,106705.2834,106798.0439
106783.5506,2025-06-22 08:26:00,106824.6384,106690.0329,106738.7814
106904.148,2025-06-22 08:27:00,106916.2929,106720.529,106789.6791
107101.2758,2025-06-22 08:28:00,107101.2758,106897.2463,106912.2591
107111.9742,2025-06-22 08:29:00,107131.3431,107004.9999,107094.8491
107245.3738,2025-06-22 08:30:00,107245.3738,107054.0916,107105.6391
107008.7513,2025-06-22 08:31:00,107278.2047,106994.6312,107278.2047
107104.9346,2025-06-22 08:32:00,107175.0232,107020.3823,107039.603
107057.1563,2025-06-22 08:33:00,107113.2053,107015.5009,107113.2053
107061.747,2025-06-22 08:34:00,107122.6657,106993.5568,107067.8095
107253.1288,2025-06-22 08:35:00,107288.8176,107039.1948,107039.1948
107267.3351,2025-06-22 08:36:00,107295.3885,107193.6679,107237.9074
107260.0302,2025-06-22 08:37:00,107367.2685,107238.7724,107258.5291
107283.8038,2025-06-22 08:38:00,107283.8038,107110.07,107236.2978
107135.3909,2025-06-22 08:39:00,107247.6959,107119.5912,107247.6959
107114.0009,2025-06-22 08:40:00,107176.6037,107104.8321,107113.8901
107116.4877,2025-06-22 08:41:00,107116.4877,106999.571,107094.452
106911.2041,2025-06-22 08:42:00,107080.863,106896.0287,107073.5336
